generation #, # alive cells, # dead cells, BORN, KILLED 
514,14,242,4,4
515,14,242,4,4
516,14,242,4,4
517,14,242,4,4
518,14,242,4,4
519,14,242,4,4
520,14,242,4,4
521,14,242,4,4
522,14,242,4,4
523,14,242,4,4
524,14,242,4,4
525,14,242,4,4
526,14,242,4,4
527,14,242,4,4
528,14,242,4,4
529,14,242,4,4
530,14,242,4,4
531,14,242,4,4
532,14,242,4,4
533,14,242,4,4
534,14,242,4,4
535,14,242,4,4
536,14,242,4,4
537,14,242,4,4
538,14,242,4,4
539,14,242,4,4
540,14,242,4,4
541,14,242,4,4
542,14,242,4,4
543,14,242,4,4
544,14,242,4,4
545,14,242,4,4
546,14,242,4,4
547,14,242,4,4
548,14,242,4,4
549,14,242,4,4
550,14,242,4,4
551,14,242,4,4
552,14,242,4,4
553,14,242,4,4
554,14,242,4,4
555,14,242,4,4
556,14,242,4,4
557,14,242,4,4
558,14,242,4,4
559,14,242,4,4
560,14,242,4,4
561,14,242,4,4
562,14,242,4,4
563,14,242,4,4
564,14,242,4,4
565,14,242,4,4
566,14,242,4,4
567,14,242,4,4
568,14,242,4,4
569,14,242,4,4
570,14,242,4,4
571,14,242,4,4
572,14,242,4,4
573,14,242,4,4
574,14,242,4,4
575,14,242,4,4
576,14,242,4,4
577,14,242,4,4
578,14,242,4,4
579,14,242,4,4
580,14,242,4,4
581,14,242,4,4
582,14,242,4,4
583,14,242,4,4
584,14,242,4,4
585,14,242,4,4
586,14,242,4,4
587,14,242,4,4
588,14,242,4,4
589,14,242,4,4
590,14,242,4,4
591,14,242,4,4
592,14,242,4,4
593,14,242,4,4
594,14,242,4,4
595,14,242,4,4
596,14,242,4,4
597,14,242,4,4
598,14,242,4,4
599,14,242,4,4
600,14,242,4,4
601,14,242,4,4
602,14,242,4,4
603,14,242,4,4
604,14,242,4,4
605,14,242,4,4
606,14,242,4,4
607,14,242,4,4
608,14,242,4,4
609,14,242,4,4
610,14,242,4,4
611,14,242,4,4
612,14,242,4,4
613,14,242,4,4
614,14,242,4,4
615,14,242,4,4
616,14,242,4,4
617,14,242,4,4
618,14,242,4,4
619,14,242,4,4
620,14,242,4,4
